ID Opera,File Ottimizzato Web,"File originale se possibile inesrimento ",Archivio TIF,Cluster,Sotto-Cluster,backstory,Descrizione Tecnica Realizzazione,Prezzo €,Disponibilità,Dimensioni item in vendita,Materiali item in vendita
"1 - cover ",falsi_sorrisi.jpg,,No,"BN MIX, carte",,,,,commisisonabile,555,5555
2 - cover,,,No,,,,,,,,
